,genericArticle_genericArticleId,genericArticle_genericArticleDescription,genericArticle_legacyArticleId,genericArticle_linkageTargetTypes,dataSupplierId,articleNumber,mfrId,mfrName,searchQuery,oem_articleNumber,oem_mfrId,oem_mfrName,oem_matchesSearchQuery
52,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074203920,74,MERCEDES-BENZ,False
53,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074204520,74,MERCEDES-BENZ,False
54,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074205320,74,MERCEDES-BENZ,False
55,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074205920,74,MERCEDES-BENZ,False
56,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074206520,74,MERCEDES-BENZ,False
57,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074207620,74,MERCEDES-BENZ,False
58,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0074208920,74,MERCEDES-BENZ,False
59,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0084201020,74,MERCEDES-BENZ,False
60,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0084203020,74,MERCEDES-BENZ,False
61,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A0084204120,74,MERCEDES-BENZ,False
62,402,"Brake Pad Set, disc brake",410986057,"['V', 'O', 'A']",65,P 50 142,875,BREMBO,P 50 142,A008420412028,74,MERCEDES-BENZ,False
